wl_depth,impact_criterion,coupled_criterion,sserr_result,touchdown_distance,ss_max_Sxx_norm,slab_tensile_criterion,max_stress
500.0,76.26479474410131,203.82461059906916,2.975216325748146,1374.4938700376927,1.9031734459858196,0.8084607434243881,0.033259052885929015
520.0,78.4905338207548,210.19914802049504,3.1209634882157795,1401.3387492899842,1.8940803447873849,0.8075219365375581,0.03659373703216477
540.0,80.61761988168011,216.3688548387223,3.2668790206638803,1427.5007414287318,1.8823868900987073,0.8060497854696073,0.0400877055999669
560.0,82.65360363002628,222.3441253184114,3.412921455397034,1453.0462890234244,1.868603558992559,0.8039987522385279,0.04374095858933525
580.0,84.60412369801793,228.0568102274687,3.5590574914108357,1478.0195221382774,1.853170691556071,0.8015303102499997,0.04755349600027002
600.0,86.47346294092056,233.59228331701559,3.7052599287475467,1502.4506709137372,1.8364620895955053,0.7986878849280493,0.05152531783277088
620.0,86.45331977533075,235.56906647727538,3.8303375554761523,1501.384987915626,1.8615143685756563,0.8011087447874099,0.05474750097939236
640.0,96.52212209685925,257.2312339172786,3.9894846441919203,1644.4301227454475,1.6797548972018912,0.7564917423574132,0.06074294661044522
660.0,104.23201852076247,275.0823385100009,4.166598633335759,1736.7301195068442,1.630378852753989,0.7530070140755893,0.06704984327057827
680.0,110.75681992855661,290.3318603193062,4.351989993911193,1804.9113092882083,1.620450140643819,0.7618062744745969,0.0736681909597916
700.0,116.48358347819213,303.432194812262,4.541994522258239,1859.2069031838803,1.6222874143977992,0.7730801909983755,0.08059798967808506
720.0,121.60603565353844,315.0908228567923,4.734875964638153,1904.7224617995125,1.6272786394624632,0.7838138086150312,0.08783923942545863
740.0,126.23570955380951,325.44853049256955,4.9296955310633335,1944.3821951084792,1.6321828031103425,0.7930812357271873,0.09539194020191266
760.0,130.4489433459802,334.8760689839376,5.125896930887587,1980.0068177566932,1.6355990847130704,0.8004162247949994,0.10325609200744676
780.0,134.30077081351828,343.44287997198523,5.3231266453830335,2012.79300664007,1.6369947130491882,0.8066218752567066,0.11143169484206097
800.0,137.8327707337497,351.3705894247677,5.521146915324223,2043.5562011330207,1.6361636827244024,0.8120409319020995,0.1199187487057557
820.0,141.0772661482827,358.72440520200195,5.719790050006342,2072.865544505088,1.6331209045152082,0.816599701899281,0.12871725359853048
840.0,144.0597687456734,365.69284265264304,5.918932887227631,2101.1243505327107,1.6279756782659092,0.8203495339147198,0.1378272095203854
860.0,146.80053826369326,372.1381291516507,6.118481783504712,2128.6208069563577,1.620906737783194,0.8233312166333443,0.14724861647132054
880.0,149.31563126995164,378.3179495972646,6.318363417019721,2155.561361311211,1.6120959445634249,0.8256049093204568,0.156981474451336
900.0,151.6174280277179,384.16689572545476,6.518518945329582,2182.093492014065,1.6017243102191496,0.8272289142386199,0.16702578346043162
920.0,153.71573371476455,389.6184446890169,6.718900172315098,2208.3216807251138,1.5900070691318664,0.8283023386255818,0.1773815434986075
940.0,155.61837973591767,394.8408940697776,6.9194669572415055,2234.3188641797988,1.5771270692324024,0.8288392879330684,0.18804875456586367
